fidelity mas2001-assignment-2 p004: agreement 1.000, figures 0/0, title yes, PASS
fidelity lms-maximum-likelihood p002: agreement 1.000, figures 0/0, title yes, PASS
fidelity ppt5-estimation-summary p020: agreement 1.000, figures 0/0, title yes, PASS
fidelity mas2001-assignment-1 p006: agreement 0.977, figures 0/0, title yes, PASS
fidelity notes-lecture-series-01-09 p100: agreement 1.000, figures 0/0, title yes, PASS
fidelity lms-standard-error-clt p012: agreement 1.000, figures 0/0, title yes, PASS
fidelity mas2001-course-handout p003: agreement 1.000, figures 0/0, title yes, PASS
fidelity ppt3-discrete-prob-dist p023: agreement 0.400, figures 0/0, title yes, REVIEW
fidelity lms-theory-of-estimation p037: agreement 1.000, figures 0/0, title yes, PASS
fidelity ppt4-continuous-prob-dist p006: agreement 0.966, figures 1/1, title yes, PASS
fidelity lms-method-of-moments p002: agreement 1.000, figures 0/0, title yes, PASS
fidelity mas2001-assignment-2 p001: agreement 1.000, figures 0/0, title yes, PASS
RC=0
