source_file,block_index,start_line,end_line,declared_type,renderer,ascii_structural_replaced
deck/notes/00-NOTES-INDEX.md,1,9,34,heuristic,vector-diagram,yes
deck/notes/00-NOTES-INDEX.md,2,38,51,heuristic,semantic-table,yes
deck/notes/00-NOTES-INDEX.md,3,61,75,heuristic,vector-diagram,yes
deck/notes/01-probability-foundations.md,1,5,8,heuristic,typeset-formula,yes
deck/notes/01-probability-foundations.md,2,10,18,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,3,28,33,heuristic,semantic-table,yes
deck/notes/01-probability-foundations.md,4,35,40,heuristic,vector-diagram,yes
deck/notes/01-probability-foundations.md,5,44,59,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,6,63,70,heuristic,semantic-table,yes
deck/notes/01-probability-foundations.md,7,72,79,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,8,83,105,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,9,109,113,heuristic,semantic-table,yes
deck/notes/01-probability-foundations.md,10,115,122,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,11,126,142,heuristic,vector-diagram,yes
deck/notes/01-probability-foundations.md,12,146,149,heuristic,typeset-formula,yes
deck/notes/01-probability-foundations.md,13,153,160,heuristic,vector-diagram,yes
deck/notes/01-probability-foundations.md,14,162,170,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,15,174,181,heuristic,semantic-table,yes
deck/notes/01-probability-foundations.md,16,185,189,heuristic,semantic-table,yes
deck/notes/01-probability-foundations.md,17,195,197,heuristic,typeset-formula,yes
deck/notes/01-probability-foundations.md,18,201,210,heuristic,vector-diagram,yes
deck/notes/01-probability-foundations.md,19,212,219,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,20,223,235,heuristic,semantic-table,yes
deck/notes/01-probability-foundations.md,21,239,247,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,22,253,256,heuristic,typeset-formula,yes
deck/notes/01-probability-foundations.md,23,258,263,heuristic,typeset-formula,yes
deck/notes/01-probability-foundations.md,24,265,275,heuristic,semantic-table,yes
deck/notes/01-probability-foundations.md,25,281,291,heuristic,typeset-formula,yes
deck/notes/01-probability-foundations.md,26,295,315,heuristic,vector-diagram,yes
deck/notes/01-probability-foundations.md,27,317,323,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,28,327,329,heuristic,typeset-formula,yes
deck/notes/01-probability-foundations.md,29,333,340,heuristic,semantic-table,yes
deck/notes/01-probability-foundations.md,30,342,348,heuristic,styled-callout,yes
deck/notes/01-probability-foundations.md,31,352,362,heuristic,vector-diagram,yes
deck/notes/02-random-variables.md,1,5,12,heuristic,styled-callout,yes
deck/notes/02-random-variables.md,2,14,22,heuristic,vector-diagram,yes
deck/notes/02-random-variables.md,3,24,35,heuristic,vector-diagram,yes
deck/notes/02-random-variables.md,4,39,47,heuristic,styled-callout,yes
deck/notes/02-random-variables.md,5,53,65,heuristic,vector-diagram,yes
deck/notes/02-random-variables.md,6,71,88,heuristic,vector-diagram,yes
deck/notes/02-random-variables.md,7,92,104,heuristic,vector-diagram,yes
deck/notes/02-random-variables.md,8,108,112,heuristic,semantic-table,yes
deck/notes/02-random-variables.md,9,116,121,heuristic,semantic-table,yes
deck/notes/02-random-variables.md,10,125,133,heuristic,semantic-table,yes
deck/notes/02-random-variables.md,11,135,144,heuristic,vector-diagram,yes
deck/notes/02-random-variables.md,12,148,150,heuristic,typeset-formula,yes
deck/notes/02-random-variables.md,13,152,158,heuristic,styled-callout,yes
deck/notes/02-random-variables.md,14,162,166,heuristic,typeset-formula,yes
deck/notes/02-random-variables.md,15,170,179,heuristic,semantic-table,yes
deck/notes/02-random-variables.md,16,183,187,heuristic,typeset-formula,yes
deck/notes/02-random-variables.md,17,189,196,heuristic,styled-callout,yes
deck/notes/02-random-variables.md,18,200,212,heuristic,semantic-table,yes
deck/notes/03-pmf-and-cdf.md,1,5,10,heuristic,styled-callout,yes
deck/notes/03-pmf-and-cdf.md,2,14,17,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,3,19,24,heuristic,styled-callout,yes
deck/notes/03-pmf-and-cdf.md,4,28,31,heuristic,typeset-formula,yes
deck/notes/03-pmf-and-cdf.md,5,33,42,heuristic,vector-diagram,yes
