instance_id,corpus_group,source_label,block_order,page_start,page_end,summary,scope,description_state,provenance_verdict,provenance_source,evidence_locator,content_family_id,status
teach-deck01-01,teaching,notes-lecture-series-01-09,1,41,42,"tournament, 4 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-02,teaching,notes-lecture-series-01-09,2,46,47,"laptops and desktops, 4 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-03,teaching,notes-lecture-series-01-09,3,48,49,"basketball lineup, 2 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-04,teaching,notes-lecture-series-01-09,4,50,50,"camera conditional probability, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-05,teaching,notes-lecture-series-01-09,5,52,52,Bernoulli coin example,in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-06,teaching,notes-lecture-series-01-09,6,53,53,two coin X example,in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-07,teaching,notes-lecture-series-01-09,7,54,55,dice sum pmf,in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-08,teaching,notes-lecture-series-01-09,8,56,56,two coin Y example,in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-09,teaching,notes-lecture-series-01-09,9,57,59,geometric N example plus verify sum equals 1,in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-10,teaching,notes-lecture-series-01-09,10,60,60,car lifetime example,in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-11,teaching,notes-lecture-series-01-09,11,65,65,"gas station pumps, 3 parts, NO solution",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-12,teaching,notes-lecture-series-01-09,12,66,66,"k probability function, 4 parts, NO solution (key sits in assignment 1 long Q2)",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-13,teaching,notes-lecture-series-01-09,13,67,69,"tune-ups, 3 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-14,teaching,notes-lecture-series-01-09,14,70,71,"contractor forms, 4 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-15,teaching,notes-lecture-series-01-09,15,72,73,"flashlight batteries, 4 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-16,teaching,notes-lecture-series-01-09,16,80,81,"boards inspection, 3 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-17,teaching,notes-lecture-series-01-09,17,82,83,"dice maximum M, 2 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-18,teaching,notes-lecture-series-01-09,18,85,85,"cdf nondecreasing proof, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-19,teaching,notes-lecture-series-01-09,19,89,89,die roll E(X) example,in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-20,teaching,notes-lecture-series-01-09,20,93,93,"prove E[aX plus b], solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-21,teaching,notes-lecture-series-01-09,21,94,94,"E(X), E(X squared), E(2X+1) squared, answer given",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-22,teaching,notes-lecture-series-01-09,22,107,108,"freezer dealer, 4 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-23,teaching,notes-lecture-series-01-09,23,109,111,"magazine orders, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-24,teaching,notes-lecture-series-01-09,24,124,125,"f(x) equals 2x, verify and P(X under 1/2), solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-25,teaching,notes-lecture-series-01-09,25,126,126,"continuous conditional probability, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-26,teaching,notes-lecture-series-01-09,26,127,129,"bus waiting times, 6 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-27,teaching,notes-lecture-series-01-09,27,138,138,"exercise, two cdfs, NO solution",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-28,teaching,notes-lecture-series-01-09,28,139,139,"distribution function to density, NO solution",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-29,teaching,notes-lecture-series-01-09,29,142,142,"hospitalization E(Y), answer given",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-deck01-30,teaching,notes-lecture-series-01-09,30,146,147,"Pareto pdf, 5 parts, solved",in-scope,resolved,open,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt3-01,teaching,ppt3-discrete-prob-dist,1,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt3-02,teaching,ppt3-discrete-prob-dist,2,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt3-03,teaching,ppt3-discrete-prob-dist,3,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt3-04,teaching,ppt3-discrete-prob-dist,4,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt3-05,teaching,ppt3-discrete-prob-dist,5,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt3-06,teaching,ppt3-discrete-prob-dist,6,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt4-01,teaching,ppt4-continuous-prob-dist,1,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt4-02,teaching,ppt4-continuous-prob-dist,2,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt4-03,teaching,ppt4-continuous-prob-dist,3,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt4-04,teaching,ppt4-continuous-prob-dist,4,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt4-05,teaching,ppt4-continuous-prob-dist,5,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt4-06,teaching,ppt4-continuous-prob-dist,6,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
teach-ppt4-07,teaching,ppt4-continuous-prob-dist,7,,,,in-scope,pending,unsearched,,reports/11-QUESTION-ATLAS/00-COUNT-REGISTER.md,,gross
