item_id,source_label,assignment,section,item_label,order,page_start,page_end,summary,extraction_state,structural_family_candidate,match_status,matched_2024_locator,evidence_locator
asgnbundle-1-Q01,assignment-2025-26-bundle-1,1,A,Q1,1,1,1,(a) Define discrete and continuous random variables with examples. (b) The expectation of two independent random variables 𝑋 and 𝑌 will be E(XY)=..…….. (c) Write the statement of Chebyshev’s ...,text_extracted,memory_based,not_assessed,,asgn-2025-26-bundle.txt:L17; PDF p1
asgnbundle-1-Q02,assignment-2025-26-bundle-1,1,B,Q2,2,1,1,"Two dice are rolled. Let 𝑋 denote the random variable which counts the total number of points on the upturned faces, construct a table giving the non-zero values of the probability mass function. ...",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L43; PDF p1
asgnbundle-1-Q03,assignment-2025-26-bundle-1,1,B,Q3,3,1,2,"A diameter of an electric cable, say 𝑋, is assumed to be a continuous random variable with p.d.f.: 𝑓(𝑥) = 6𝑥(1 − 𝑥), 0 ≤ 𝑥 ≤ 1. Check that 𝑓(𝑥) is p.d.f., and (ii) determine a number 𝑏 such that 𝑃(𝑋 ...",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L60; PDF p1-2
asgnbundle-1-Q04,assignment-2025-26-bundle-1,1,B,Q4,4,2,2,"Let 𝑋 be a random variable with the following probability distribution : X=x -3 6 9 𝑃(𝑋 = 𝑥) 1/6 1/2 1/3 Find 𝐸(𝑋) and 𝐸(𝑋 2 ) and using the laws of expectation, evaluate 𝐸(2𝑋 + 1)2 .",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L76; PDF p2
asgnbundle-1-Q05,assignment-2025-26-bundle-1,1,B,Q5,5,2,2,"A random variable X has mean 10 variance 4. Using Chebyshev’s inequality, find the value of the constant c such that 𝑃(|𝑋 − 10| ≥ 𝑐) ≤ 0.04.",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L81; PDF p2
asgnbundle-1-Q06,assignment-2025-26-bundle-1,1,B,Q6,6,2,2,A lot containing 7 components is sampled by a quality inspector. The lot contains 4 good components and 3 defective components. A sample of 3 is taken by the inspector. Find the expected value of the ...,text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L84; PDF p2
asgnbundle-1-Q07,assignment-2025-26-bundle-1,1,B,Q7,7,2,2,"The shelf life in years of a certain perishable food product packaged in cardboard containers is a random variable, whose probability density function is given by 𝑒 −𝑥 , 𝑤ℎ𝑒𝑛 𝑥 > 0 𝑓(𝑥) = { 0, ...",text_extracted,concept_based,not_assessed,,asgn-2025-26-bundle.txt:L90; PDF p2
asgnbundle-1-Q08,assignment-2025-26-bundle-1,1,C,Q8,8,2,2,"A random variable 𝑋 has the following probability function: Values of X, 0 1 2 3 4 5 6 7 x: P(x) 0 k 2k 2k 3k K2 2k2 7k2+k (i) Find k, (ii) Evaluate 𝑃(𝑋 < 6), 𝑃(𝑋 ≥ 6), and 𝑃(0 < 𝑋 < 5) (iii) 1 ...",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L99; PDF p2
asgnbundle-1-Q09,assignment-2025-26-bundle-1,1,C,Q9,9,2,2,"A random number 𝑋 is distributed at random between the values 0 and 1 so that its probability density function is 𝑓(𝑥) = 𝑘𝑥 2 (1 − 𝑥 3 ), where k is a constant. Find the value of k. Using this value ...",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L108; PDF p2
asgnbundle-1-Q10,assignment-2025-26-bundle-1,1,C,Q10,10,2,2,"The distribution function of the random variable X is given by 0, 𝑥≤0 4 (𝑥 − 1) , 1≤𝑥≤3 𝐹(𝑥) = 16 1, 𝑥>3 { i. Find corresponding density function. ii. Compute P( 2 ≤ 𝑥 ≤ 3)",text_extracted,analytical_based,not_assessed,,asgn-2025-26-bundle.txt:L113; PDF p2
