source_file,block_index,start_line,end_line,classification,structural_markers
deck/00-INDEX.md,1,5,27,structural-candidate,─│┌┐└┘┬┼
deck/00-INDEX.md,2,31,65,structural-candidate,─│┌┐┘├┬┴◀
deck/00-INDEX.md,3,69,82,structural-candidate,─▶
deck/00-INDEX.md,4,86,94,text-or-formula,
deck/00-INDEX.md,5,98,117,text-or-formula,
deck/00-INDEX.md,6,121,138,text-or-formula,
deck/00-INDEX.md,7,144,150,text-or-formula,
deck/00-INDEX.md,8,156,166,text-or-formula,
deck/00-INDEX.md,9,172,182,text-or-formula,
deck/00-INDEX.md,10,189,198,text-or-formula,
deck/01-CHEATSHEET.md,1,5,36,structural-candidate,─│┌┐└┘┬
deck/01-CHEATSHEET.md,2,40,59,structural-candidate,─│┌┐└┘├█
deck/01-CHEATSHEET.md,3,63,78,structural-candidate,─│┌┐└┘├┬┴┼
deck/01-CHEATSHEET.md,4,84,94,text-or-formula,
deck/01-CHEATSHEET.md,5,98,106,text-or-formula,
deck/01-CHEATSHEET.md,6,110,116,text-or-formula,
deck/01-CHEATSHEET.md,7,120,127,text-or-formula,
deck/01-CHEATSHEET.md,8,131,139,text-or-formula,
deck/01-CHEATSHEET.md,9,143,167,text-or-formula,
deck/01-CHEATSHEET.md,10,171,182,text-or-formula,
deck/01-CHEATSHEET.md,11,186,198,text-or-formula,
deck/01-CHEATSHEET.md,12,202,207,text-or-formula,
deck/01-CHEATSHEET.md,13,211,217,text-or-formula,
deck/02-TERMS.md,1,5,50,structural-candidate,─│┌┐└┘┬┴┼
deck/02-TERMS.md,2,54,63,structural-candidate,─▶
deck/02-TERMS.md,3,70,84,text-or-formula,
deck/02-TERMS.md,4,88,96,text-or-formula,
deck/02-TERMS.md,5,100,114,text-or-formula,
deck/02-TERMS.md,6,118,127,text-or-formula,
deck/02-TERMS.md,7,131,138,text-or-formula,
deck/02-TERMS.md,8,142,150,text-or-formula,
deck/02-TERMS.md,9,154,161,text-or-formula,
deck/02-TERMS.md,10,165,178,text-or-formula,
deck/02-TERMS.md,11,182,193,text-or-formula,
deck/02-TERMS.md,12,197,212,text-or-formula,
deck/02-TERMS.md,13,216,228,text-or-formula,
deck/03-LINGUISTICS.md,1,5,37,structural-candidate,─│┌┐└┘├
deck/03-LINGUISTICS.md,2,41,57,structural-candidate,─│┌┐└┘
deck/03-LINGUISTICS.md,3,61,79,structural-candidate,─│┌┐└┘┬
deck/03-LINGUISTICS.md,4,86,111,text-or-formula,
deck/03-LINGUISTICS.md,5,115,123,text-or-formula,
deck/03-LINGUISTICS.md,6,127,138,text-or-formula,
deck/03-LINGUISTICS.md,7,142,151,text-or-formula,
deck/03-LINGUISTICS.md,8,155,170,text-or-formula,
deck/03-LINGUISTICS.md,9,174,181,text-or-formula,
deck/03-LINGUISTICS.md,10,185,197,text-or-formula,
deck/04-METHODS.md,1,5,37,structural-candidate,─│┌┐└┘┬┴
deck/04-METHODS.md,2,41,60,structural-candidate,─│┌┐└┘┬
deck/04-METHODS.md,3,67,75,text-or-formula,
deck/04-METHODS.md,4,79,86,text-or-formula,
deck/04-METHODS.md,5,90,97,text-or-formula,
deck/04-METHODS.md,6,101,110,text-or-formula,
deck/04-METHODS.md,7,114,123,text-or-formula,
deck/04-METHODS.md,8,127,135,text-or-formula,
deck/04-METHODS.md,9,139,149,text-or-formula,
deck/04-METHODS.md,10,153,165,text-or-formula,
deck/04-METHODS.md,11,169,177,text-or-formula,
deck/04-METHODS.md,12,181,192,text-or-formula,
deck/04-METHODS.md,13,196,203,text-or-formula,
deck/04-METHODS.md,14,207,219,text-or-formula,
deck/04-METHODS.md,15,223,233,text-or-formula,
deck/04-METHODS.md,16,237,244,text-or-formula,
deck/04-METHODS.md,17,248,259,text-or-formula,
deck/04-METHODS.md,18,263,275,text-or-formula,
deck/04-METHODS.md,19,279,285,text-or-formula,
deck/05-DISTRIBUTIONS.md,1,5,24,structural-candidate,─│┌┐└┘┴┼
deck/05-DISTRIBUTIONS.md,2,28,43,structural-candidate,─│┌┐└┘┬┴
deck/05-DISTRIBUTIONS.md,3,47,63,structural-candidate,─│┌┐└┘┬┴
deck/05-DISTRIBUTIONS.md,4,72,82,text-or-formula,
deck/05-DISTRIBUTIONS.md,5,84,95,text-or-formula,
deck/05-DISTRIBUTIONS.md,6,99,109,text-or-formula,
deck/05-DISTRIBUTIONS.md,7,111,122,text-or-formula,
deck/05-DISTRIBUTIONS.md,8,126,134,text-or-formula,
deck/05-DISTRIBUTIONS.md,9,136,145,text-or-formula,
deck/05-DISTRIBUTIONS.md,10,149,159,text-or-formula,
deck/05-DISTRIBUTIONS.md,11,161,172,text-or-formula,
deck/05-DISTRIBUTIONS.md,12,176,186,text-or-formula,
deck/05-DISTRIBUTIONS.md,13,188,202,text-or-formula,
deck/05-DISTRIBUTIONS.md,14,206,220,text-or-formula,
deck/06-NUMBERS.md,1,5,15,structural-candidate,─│▶
deck/06-NUMBERS.md,2,19,38,structural-candidate,─│└┬▶
deck/06-NUMBERS.md,3,42,57,structural-candidate,─│└┬█▶
deck/06-NUMBERS.md,4,64,73,text-or-formula,
deck/06-NUMBERS.md,5,77,90,text-or-formula,
deck/06-NUMBERS.md,6,94,114,text-or-formula,
deck/06-NUMBERS.md,7,116,120,text-or-formula,
deck/06-NUMBERS.md,8,124,131,text-or-formula,
deck/06-NUMBERS.md,9,135,161,text-or-formula,
deck/06-NUMBERS.md,10,165,176,text-or-formula,
deck/06-NUMBERS.md,11,180,190,text-or-formula,
deck/06-NUMBERS.md,12,194,200,text-or-formula,
deck/07-PATTERNS.md,1,5,22,structural-candidate,─│┌┐└┘├┬┴
deck/07-PATTERNS.md,2,26,47,structural-candidate,─│┌┐└┘
deck/07-PATTERNS.md,3,51,65,structural-candidate,─│┌┐└┘├┬┴┼
deck/07-PATTERNS.md,4,69,86,structural-candidate,─│┌┐└┘┬┴┼
deck/07-PATTERNS.md,5,95,100,text-or-formula,
deck/07-PATTERNS.md,6,107,120,text-or-formula,
deck/07-PATTERNS.md,7,124,140,text-or-formula,
deck/07-PATTERNS.md,8,144,157,text-or-formula,
deck/07-PATTERNS.md,9,165,175,text-or-formula,
deck/07-PATTERNS.md,10,182,201,text-or-formula,
deck/07-PATTERNS.md,11,205,217,text-or-formula,
deck/07-PATTERNS.md,12,224,233,text-or-formula,
deck/08-TRAPS.md,1,5,52,structural-candidate,─│┌┐└┘┬▶
